29.4,0,1.8,0.59,20.5,-3.3,5.113
25,2.2,2.3,0.88,22.8,-2.2,1.146
25,0,1,0.88,22.8,-2,2.234
23.6,4,1.5,0.9,21.8,-1.8,0.288
23.7,3.4,1.1,0.93,22.4,-1.8,0.669
23.7,0.8,0.5,0.93,22.4,-2.1,0.337
23.9,0.3,1.4,0.93,22.6,-2.5,0.417
23.9,0.3,1.5,0.93,22.6,-2.9,0.415
23.7,0.1,1.4,0.93,22.4,-3.3,2.528
23.7,0,1.8,0.92,22.3,-3.7,3.148
23.3,0,1.9,0.91,21.7,-3.6,3.308
23,0,1.2,0.93,21.8,-3.8,0.337
23,0,1.1,0.92,21.6,-3.8,2.043
23.5,0,0.7,0.9,21.7,-3.6,2.521
23.7,0,1.3,0.88,21.5,-3,3.375
25.7,0,0.8,0.81,22.1,-3.5,3.381
25.1,0,1.7,0.8,21.3,-3.1,2.245
24.6,0,2.1,0.82,21.3,-2.7,1.1
25.7,0,2.4,0.77,21.3,-2.9,1.323
27.2,0,1.8,0.68,20.7,-3,1.702
28.7,0,2.9,0.53,18.1,-3.2,2.63
29.5,0,2.8,0.47,16.9,-3.2,3.732
28.6,0,2.7,0.49,16.8,-2.8,3.106
28.6,0,3.1,0.47,16.1,-2.5,4.139
27.6,0,2.4,0.47,15.2,-2,4.245
26,0,2.5,0.52,15.3,-1.4,4.434
24.4,0,2,0.55,14.7,-1,5.61
23.7,0,2.2,0.6,15.4,-0.3,5
22.7,0,2.9,0.69,16.7,0.5,3.377
21.8,0,1.7,0.79,17.9,0.9,1.866
21.2,0,1.6,0.83,18.1,1.1,1.1
20.8,0,1.5,0.82,17.6,1.4,0.591
20.2,0,1,0.85,17.5,1.1,0.516
19.7,0,1.6,0.87,17.4,1.2,0.447
19.5,0,0.5,0.86,17,1.3,0.506
19.2,0,1,0.85,16.6,1.3,0.538
19.1,0,1.2,0.85,16.5,1.5,0.54
19.5,0,1.3,0.84,16.7,1.8,0.517
20.6,0,1.5,0.8,17,1.8,0.654
22.1,0,2,0.71,16.5,1.6,0.9
23,0,1.9,0.66,16.2,1.1,1.821
25.2,0,1.8,0.59,16.6,0.7,1.892
26.4,0,2.4,0.55,16.6,0.3,2.266
27.2,0,2.2,0.52,16.4,-0.2,2.852
27.6,0,2.6,0.52,16.8,-0.9,3.441
29.1,0,2.6,0.42,14.8,-1.2,5.035
29.5,0,2.8,0.4,14.4,-1.7,4.438
29.2,0,2.9,0.37,13,-1.8,5.844
28.3,0,2.8,0.37,12.2,-2,1.812
27.2,0,2.3,0.38,11.6,-1.6,5.252
25.4,0,2.3,0.44,12.2,-1,5.314
23.7,0,1.2,0.53,13.5,-0.1,4.928
22.7,0,2.2,0.52,12.3,0.2,5.099
21.9,0,1.5,0.57,12.9,0.3,4.357
21.5,0,1.5,0.65,14.6,0.2,2.754
20.8,0,1.3,0.69,14.8,0.2,2.469
20.3,0,1.7,0.74,15.5,0,2.142
19.5,0,1.8,0.81,16.1,-0.2,1.02
19.8,0,0.7,0.81,16.4,-0.3,0.939
20.2,0,0.9,0.79,16.4,-0.1,1.103
20.5,0,0.4,0.78,16.5,0.3,0.973
20.8,0,1.1,0.76,16.4,0.4,0.72
20.9,0,1.3,0.78,16.9,0.9,0.671
21.5,0,1.2,0.74,16.6,0.5,0.795
23.8,0,1.6,0.66,17,0.4,0.9
24.8,0,1.5,0.58,15.9,-0.1,1.161
26.1,0,1.7,0.54,16,-0.5,1.1
27.4,0,2.3,0.47,15,-0.7,1.272
28.1,0,2.1,0.46,15.3,-1.3,1.37
29.2,0,1.3,0.42,14.9,-2.1,1.436
30,0,2,0.4,14.9,-2.3,1.99
29.4,0,1.8,0.41,14.7,-2.5,2.283
28.3,0,1.6,0.46,15.5,-2.3,1.811
28.1,0,0.9,0.48,16,-1.8,2.057
27.2,0,1.3,0.53,16.7,-1.4,1.605
26,0,2.3,0.61,17.8,-0.9,1.555
25.5,0,1,0.62,17.6,-0.6,0.894
25.1,0,0.7,0.66,18.2,-0.3,0.746
24.2,0,0.7,0.7,18.3,-0.8,0.9
23.5,0,1,0.71,17.9,-1.1,0.9
23.2,0,1,0.7,17.4,-0.9,0.9
22.8,0,1.2,0.69,16.8,-0.9,1.48
22.3,0,0.9,0.68,16.1,-0.8,2.014
22.1,0,1,0.65,15.2,-0.5,2.836
21.7,0,1.1,0.75,17,-0.2,1.1
22.1,0,1.2,0.65,15.2,-0.3,3.136
22.8,0,1.4,0.6,14.6,-0.4,3.383
23.8,0,1.9,0.57,14.7,-0.8,3.042
24.7,0,1,0.59,16.1,-0.8,2.034
25.7,0,1.5,0.52,15,-1.1,2.317
26.4,0,1.9,0.51,15.4,-1.3,2.346
28.2,0,1.7,0.5,16.7,-1.4,1.909
27.5,0,2.5,0.48,15.5,-2.1,2.14
28,0,1.6,0.51,16.9,-2.3,2.118
27.5,0,2.2,0.48,15.5,-2.3,2.236
26.7,0,2.3,0.48,14.7,-2.4,2.576
25.7,0,2.5,0.5,14.4,-2,2.226
24.8,0,2.1,0.53,14.5,-1.8,2.561
24.1,0,2.3,0.57,15,-1.2,2.12
23.3,0,1.8,0.54,13.4,-0.7,3.374
23,0,1.2,0.56,13.7,-0.6,3.333
22.6,0,1.6,0.55,13,-0.7,3.472
21.8,0,1.6,0.6,13.6,-0.8,2.79
21.2,0,1.2,0.7,15.5,-1.1,1.343
21,0,0.9,0.74,16.1,-1.9,1.065
21,0,0.8,0.74,16.1,-2.3,1.047
20.7,0,0.1,0.76,16.3,-2.8,1.039
20.7,0,0.4,0.75,16.1,-3.2,1.075
20.2,0,0.9,0.78,16.2,-2.9,1.1
20.5,0,0.8,0.77,16.3,-2.9,1.026
20.8,0,1.7,0.75,16.1,-3.3,1.1
21.7,0,0.2,0.68,15.5,-3,1.1
21.7,0,2.1,0.7,15.9,-3.3,1.1
22.7,0,1.1,0.65,15.7,-2.7,1.455
23,0,2.4,0.64,15.8,-3.6,1.87
23.2,0,2.4,0.58,14.4,-3.8,4.658
23.2,0,2.1,0.6,14.9,-4.1,5.663
23.5,0,1.5,0.6,15.2,-4.5,5.194
24,0,3.2,0.57,14.9,-4.9,5.165
24.3,0,2.9,0.58,15.5,-5.4,3.58
23.7,0,2.3,0.56,14.3,-4.8,1.401
23.3,0,2.8,0.58,14.5,-4.4,1.451
23,0,1.9,0.6,14.8,-4.2,5.44
21.7,0,0.4,0.67,15.2,-4.2,5.494
22.1,0,2,0.67,15.6,-3.3,3.629
22.1,0,1.6,0.65,15.2,-3.6,4.374
20.7,0,0.8,0.76,16.3,-3.8,2.294
21.2,0,0.7,0.74,16.3,-3.4,2.211
20.8,0,0.6,0.77,16.6,-3.4,2.004
19.8,2.8,0.2,0.85,17.1,-3.3,2.508
19.3,0.8,0.5,0.87,17,-3,1.791
19.5,0,1,0.85,16.9,-2.4,2.328
19.5,0,0,0.87,17.2,-2.1,2.098
19.5,0,0.4,0.88,17.4,-1.4,1.112
20.4,0,1,0.84,17.5,-1.1,1.16
21.8,0,0.8,0.74,16.9,-0.9,1.166
23.7,0,1.6,0.64,16.4,-0.9,1.585
25,0,2.3,0.57,15.8,-0.7,2.251
25.9,0,2.2,0.55,16.1,-0.5,1.593
26.8,0,1.8,0.51,15.8,-0.6,2.197
27.8,0,2.9,0.45,14.7,-0.6,2.901
28.6,0,1.9,0.45,15.4,-0.6,2.522
29.2,0,2.1,0.43,15.3,-0.7,3.028
29.1,0,1,0.43,15.2,-0.6,3.458
29,0,1.7,0.44,15.5,-0.5,3.086
28.2,0,1.7,0.47,15.8,0.4,3.622
26.1,0,2.4,0.6,17.7,1.3,1.23
25.3,0,1.1,0.61,17.2,1.9,1.1
24.7,0,0.9,0.64,17.4,2.5,1.144
24.2,0,0.5,0.66,17.4,2.9,1.132
23.6,0,0.2,0.67,17.1,2.8,1.078
22.4,0,0.9,0.72,17,3.3,1.05
22.2,0,0.5,0.73,17.1,3.4,1.312
21.7,0,0.4,0.76,17.2,3.7,0.641
21,0,0.6,0.81,17.6,4.3,0.493
20.7,0,0.8,0.81,17.3,4.2,0.45
20.8,0,1.1,0.84,17.9,4.6,0.45
21.8,0,1,0.79,17.9,4.6,0.471
22.5,0,1.2,0.78,18.4,5,0.491
24.7,0,1.2,0.67,18.1,5,1.398
25.7,0,1.1,0.64,18.3,4.7,1.418
26.9,0,1.4,0.66,20,4.3,1.114
26.4,0,1.9,0.65,19.2,3.9,0.933
28.3,0,1.7,0.56,18.6,3.3,1.088
28.7,0,2.1,0.54,18.4,3,1.217
29.8,0,1.6,0.49,17.9,2.4,1.731
30.1,0,1.7,0.48,17.8,2.1,1.924
29.2,0,1.9,0.51,18,1.6,1.752
27.8,0,3.2,0.6,19.3,1.3,0.854
27.1,0,2.2,0.62,19.1,2.1,1.158
26.2,0,1.6,0.63,18.5,2.6,1.509
25.2,0,2,0.64,17.8,2.5,1.449
24.7,0,0.9,0.65,17.6,2.7,1.377
24.2,0,1.2,0.68,17.9,2.9,1.184
23.5,0,1.8,0.69,17.4,2.9,1.069
22.8,0,1.2,0.69,16.8,2.9,1.01
